,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20180116,300725.SZ,300618.SZ,002912.SZ,002812.SZ,300668.SZ,300733.SZ,603833.SH,002714.SZ,002923.SZ,000596.SZ,300612.SZ,603080.SH,300616.SZ,300736.SZ,603722.SH,300685.SZ,002908.SZ,300684.SZ,600340.SH,603180.SH,000732.SZ,603179.SH,002925.SZ,002911.SZ,300663.SZ,000002.SZ,603737.SH,300677.SZ,600903.SH,002869.SZ,603106.SH,002895.SZ,002889.SZ,300642.SZ,603589.SH,603127.SH,300698.SZ,603683.SH,603655.SH,603607.SH,603181.SH,603378.SH,300349.SZ,002868.SZ,603816.SH,300664.SZ,300686.SZ,002879.SZ,000661.SZ,600809.SH
20180117,300706.SZ,300668.SZ,603776.SH,300613.SZ,300700.SZ,300713.SZ,603080.SH,601828.SH,300736.SZ,300710.SZ,300692.SZ,300684.SZ,300642.SZ,300508.SZ,002915.SZ,300722.SZ,300226.SZ,002897.SZ,002925.SZ,603458.SH,300639.SZ,300727.SZ,002760.SZ,300595.SZ,300661.SZ,603912.SH,603533.SH,603083.SH,300707.SZ,300691.SZ,002879.SZ,300672.SZ,300708.SZ,603103.SH,300698.SZ,603655.SH,002761.SZ,300554.SZ,600694.SH,603396.SH,002905.SZ,002910.SZ,300690.SZ,603661.SH,603260.SH,300487.SZ,300571.SZ,300136.SZ,300578.SZ,002878.SZ
20180118,002912.SZ,300668.SZ,300624.SZ,300554.SZ,603080.SH,300695.SZ,300736.SZ,002760.SZ,300684.SZ,300612.SZ,300661.SZ,603579.SH,002907.SZ,002925.SZ,600809.SH,300679.SZ,002853.SZ,300618.SZ,300340.SZ,300700.SZ,603595.SH,600519.SH,603515.SH,002903.SZ,603683.SH,600197.SH,603833.SH,300547.SZ,000596.SZ,300487.SZ,603180.SH,300725.SZ,002304.SZ,603677.SH,603458.SH,002887.SZ,603183.SH,300696.SZ,300733.SZ,002876.SZ,300631.SZ,300689.SZ,603037.SH,600230.SH,000732.SZ,300616.SZ,002783.SZ,002648.SZ,603868.SH,600702.SH
20180119,002912.SZ,300618.SZ,300668.SZ,300738.SZ,300461.SZ,300736.SZ,002856.SZ,300684.SZ,603579.SH,300629.SZ,300226.SZ,002925.SZ,603896.SH,300700.SZ,002915.SZ,002917.SZ,300698.SZ,603458.SH,300581.SZ,300696.SZ,603329.SH,300554.SZ,300719.SZ,300487.SZ,603368.SH,300624.SZ,300558.SZ,002798.SZ,300733.SZ,603799.SH,603848.SH,300547.SZ,300667.SZ,300732.SZ,603858.SH,603555.SH,603665.SH,603388.SH,002236.SZ,603978.SH,002095.SZ,601012.SH,300726.SZ,300722.SZ,300627.SZ,600366.SH,002879.SZ,601828.SH,300531.SZ,603320.SH
20180122,600519.SH,603895.SH,300685.SZ,000661.SZ,300033.SZ,000858.SZ,000651.SZ,300571.SZ,300226.SZ,603579.SH,002925.SZ,300567.SZ,000418.SZ,002798.SZ,002304.SZ,603658.SH,600436.SH,000596.SZ,002095.SZ,300561.SZ,002594.SZ,000333.SZ,300109.SZ,000538.SZ,000568.SZ,300474.SZ,002032.SZ,603825.SH,300514.SZ,002508.SZ,002755.SZ,300624.SZ,300642.SZ,300738.SZ,603589.SH,600702.SH,300613.SZ,000513.SZ,300733.SZ,002841.SZ,300461.SZ,603016.SH,002110.SZ,600990.SH,300581.SZ,600570.SH,300609.SZ,002035.SZ,002315.SZ,000423.SZ
20180123,300618.SZ,300676.SZ,300572.SZ,002916.SZ,603776.SH,603799.SH,300684.SZ,300732.SZ,002925.SZ,603260.SH,603833.SH,002915.SZ,002876.SZ,000732.SZ,300226.SZ,603595.SH,300109.SZ,002919.SZ,300176.SZ,300738.SZ,300624.SZ,300713.SZ,300616.SZ,300733.SZ,603895.SH,603016.SH,300629.SZ,300573.SZ,603612.SH,300571.SZ,603183.SH,002304.SZ,002320.SZ,600137.SH,300619.SZ,601155.SH,300708.SZ,601012.SH,600009.SH,601100.SH,002572.SZ,002833.SZ,600340.SH,002836.SZ,300635.SZ,601828.SH,603329.SH,002718.SZ,002842.SZ,300505.SZ
20180124,300618.SZ,300567.SZ,300613.SZ,300685.SZ,300226.SZ,002925.SZ,300678.SZ,300688.SZ,300732.SZ,300308.SZ,603356.SH,603444.SH,300628.SZ,603466.SH,300661.SZ,300561.SZ,002095.SZ,300033.SZ,300109.SZ,603019.SH,300474.SZ,603338.SH,300624.SZ,300738.SZ,603329.SH,300708.SZ,603103.SH,603319.SH,603813.SH,002915.SZ,300533.SZ,603659.SH,600903.SH,603895.SH,603605.SH,300496.SZ,002745.SZ,002881.SZ,002049.SZ,300673.SZ,000503.SZ,603533.SH,002153.SZ,300689.SZ,300706.SZ,600570.SH,300431.SZ,002905.SZ,601828.SH,002856.SZ
20180125,603595.SH,002925.SZ,600519.SH,603978.SH,300737.SZ,300561.SZ,300567.SZ,300730.SZ,300624.SZ,300738.SZ,600230.SH,603895.SH,603813.SH,300413.SZ,603527.SH,600612.SH,300612.SZ,002895.SZ,300581.SZ,300697.SZ,300664.SZ,300700.SZ,600771.SH,601155.SH,603078.SH,603683.SH,603179.SH,603722.SH,300630.SZ,002713.SZ,002691.SZ,603103.SH,002922.SZ,603356.SH,300602.SZ,603665.SH,300545.SZ,000526.SZ,300663.SZ,300072.SZ,603260.SH,300481.SZ,002365.SZ,000881.SZ,300191.SZ,603056.SH,603383.SH,300698.SZ,600585.SH,002530.SZ
20180126,300725.SZ,600519.SH,300616.SZ,603444.SH,300612.SZ,300584.SZ,603180.SH,300713.SZ,300624.SZ,300738.SZ,300567.SZ,603895.SH,300497.SZ,603799.SH,002809.SZ,601155.SH,300684.SZ,300487.SZ,603833.SH,603329.SH,603499.SH,300450.SZ,603103.SH,002812.SZ,000651.SZ,002190.SZ,603288.SH,300357.SZ,300631.SZ,603260.SH,603356.SH,300176.SZ,300469.SZ,300461.SZ,603018.SH,603466.SH,300348.SZ,300122.SZ,603058.SH,603533.SH,603665.SH,300575.SZ,002915.SZ,002625.SZ,300737.SZ,002508.SZ,300347.SZ,603056.SH,601336.SH,300013.SZ
20180129,603180.SH,603799.SH,300624.SZ,300738.SZ,002923.SZ,300718.SZ,603895.SH,300727.SZ,300603.SZ,601360.SH,002893.SZ,300715.SZ,300732.SZ,603655.SH,300516.SZ,002915.SZ,002190.SZ,603722.SH,601233.SH,603518.SH,000048.SZ,603050.SH,002908.SZ,603356.SH,603283.SH,002921.SZ,300696.SZ,603877.SH,300737.SZ,300149.SZ,600093.SH,603056.SH,603289.SH,300731.SZ,002895.SZ,300577.SZ,600486.SH,002016.SZ,300663.SZ,300575.SZ,601997.SH,603499.SH,300684.SZ,603260.SH,002916.SZ,603612.SH,603025.SH,603110.SH,300588.SZ,603933.SH
