,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20180927,002931.SZ,300616.SZ,002007.SZ,300122.SZ,603583.SH,002864.SZ,300749.SZ,300747.SZ,002821.SZ,300706.SZ,603666.SH,603029.SH,002937.SZ,603858.SH,300601.SZ,603658.SH,300649.SZ,000697.SZ,300357.SZ,300673.SZ,603288.SH,603701.SH,002923.SZ,002568.SZ,300168.SZ,300294.SZ,300436.SZ,603538.SH,300748.SZ,300493.SZ,603156.SH,002917.SZ,002299.SZ,000593.SZ,300595.SZ,600486.SH,600101.SH,603329.SH,600161.SH,600588.SH,300624.SZ,600596.SH,603520.SH,603315.SH,300683.SZ,600810.SH,000860.SZ,600721.SH,000661.SZ,000048.SZ
20180928,600519.SH,300742.SZ,603039.SH,002931.SZ,603790.SH,603259.SH,002930.SZ,300624.SZ,300176.SZ,300616.SZ,300731.SZ,002813.SZ,603301.SH,603429.SH,002935.SZ,300749.SZ,000661.SZ,300487.SZ,603260.SH,603658.SH,600104.SH,002831.SZ,603939.SH,603013.SH,300689.SZ,300619.SZ,300743.SZ,600259.SH,300720.SZ,002917.SZ,300721.SZ,603180.SH,002937.SZ,002889.SZ,603076.SH,300109.SZ,002841.SZ,300467.SZ,300577.SZ,601336.SH,300146.SZ,002821.SZ,300634.SZ,002925.SZ,300644.SZ,603776.SH,300505.SZ,002871.SZ,603596.SH,601888.SH
20181008,002931.SZ,002919.SZ,300749.SZ,600903.SH,002915.SZ,002937.SZ,300702.SZ,300657.SZ,002923.SZ,603505.SH,300748.SZ,603538.SH,002090.SZ,002846.SZ,300308.SZ,002806.SZ,300644.SZ,603619.SH,603722.SH,002813.SZ,600259.SH,002930.SZ,300727.SZ,603045.SH,600333.SH,000505.SZ,002427.SZ,002838.SZ,300089.SZ,603810.SH,002911.SZ,601811.SH,300281.SZ,002476.SZ,600532.SH,002830.SZ,300677.SZ,300025.SZ,600662.SH,600026.SH,603706.SH,300721.SZ,600448.SH,600614.SH,600687.SH,603278.SH,600733.SH,002302.SZ,002578.SZ,002486.SZ
20181009,600519.SH,300616.SZ,002931.SZ,300644.SZ,603722.SH,603833.SH,300749.SZ,603301.SH,603895.SH,002915.SZ,002930.SZ,603706.SH,603393.SH,603032.SH,300742.SZ,002935.SZ,300743.SZ,603866.SH,002937.SZ,002856.SZ,300624.SZ,000661.SZ,603713.SH,300706.SZ,002898.SZ,603538.SH,300690.SZ,002932.SZ,603045.SH,603320.SH,300702.SZ,300721.SZ,603356.SH,603619.SH,300745.SZ,300434.SZ,603650.SH,300727.SZ,300670.SZ,300637.SZ,300722.SZ,002778.SZ,300748.SZ,603059.SH,002895.SZ,600298.SH,002921.SZ,603076.SH,600547.SH,300677.SZ
20181010,002931.SZ,603192.SH,300644.SZ,300661.SZ,300747.SZ,300749.SZ,603032.SH,603883.SH,002913.SZ,002903.SZ,002937.SZ,002859.SZ,002935.SZ,300613.SZ,300394.SZ,603790.SH,603183.SH,603320.SH,300745.SZ,300702.SZ,002893.SZ,603607.SH,600990.SH,300522.SZ,300607.SZ,300717.SZ,002860.SZ,300701.SZ,002915.SZ,300732.SZ,002049.SZ,300554.SZ,300683.SZ,300548.SZ,603713.SH,603041.SH,300670.SZ,300688.SZ,300748.SZ,002877.SZ,603160.SH,002895.SZ,300692.SZ,300492.SZ,600903.SH,600482.SH,002864.SZ,600520.SH,603223.SH,300550.SZ
20181011,300749.SZ,002937.SZ,300529.SZ,300717.SZ,300587.SZ,002853.SZ,300670.SZ,300748.SZ,002827.SZ,603223.SH,002893.SZ,300610.SZ,300589.SZ,002846.SZ,002931.SZ,002903.SZ,603080.SH,300677.SZ,000752.SZ,002877.SZ,000669.SZ,002863.SZ,603607.SH,600678.SH,300732.SZ,600326.SH,300042.SZ,000606.SZ,300216.SZ,300692.SZ,601069.SH,300179.SZ,000736.SZ,600448.SH,600722.SH,600712.SH,600687.SH,002700.SZ,300077.SZ,603177.SH,002748.SZ,000576.SZ,300411.SZ,300514.SZ,300626.SZ,002628.SZ,300599.SZ,603477.SH,002808.SZ,600489.SH
20181012,600519.SH,300661.SZ,300523.SZ,002304.SZ,002916.SZ,002594.SZ,300559.SZ,002821.SZ,300595.SZ,601888.SH,000568.SZ,603986.SH,300683.SZ,300602.SZ,603883.SH,002923.SZ,002937.SZ,603895.SH,603032.SH,300750.SZ,002859.SZ,603288.SH,300548.SZ,300731.SZ,600612.SH,603039.SH,002867.SZ,601318.SH,300684.SZ,300575.SZ,300727.SZ,300461.SZ,300717.SZ,600990.SH,300681.SZ,603259.SH,603013.SH,002813.SZ,603301.SH,600585.SH,002841.SZ,300628.SZ,300567.SZ,601336.SH,002912.SZ,603706.SH,603320.SH,600276.SH,603639.SH,300690.SZ
20181015,300750.SZ,300694.SZ,300725.SZ,300745.SZ,002912.SZ,002937.SZ,300642.SZ,300713.SZ,300638.SZ,300670.SZ,603978.SH,002856.SZ,300538.SZ,300748.SZ,300602.SZ,603259.SH,300668.SZ,002862.SZ,002860.SZ,300681.SZ,300550.SZ,002916.SZ,603659.SH,300631.SZ,300122.SZ,002886.SZ,000049.SZ,300561.SZ,002845.SZ,300450.SZ,300514.SZ,300576.SZ,603008.SH,300718.SZ,300468.SZ,603657.SH,300586.SZ,300686.SZ,300731.SZ,603790.SH,300454.SZ,300484.SZ,300632.SZ,000025.SZ,002896.SZ,000636.SZ,002806.SZ,300615.SZ,603330.SH,600132.SH
20181016,300760.SZ,603657.SH,300667.SZ,300226.SZ,002856.SZ,300538.SZ,300748.SZ,300668.SZ,603330.SH,002830.SZ,300629.SZ,300694.SZ,300514.SZ,002795.SZ,603936.SH,002304.SZ,603516.SH,603444.SH,002932.SZ,600903.SH,603080.SH,300581.SZ,002700.SZ,603586.SH,603633.SH,300587.SZ,600260.SH,603926.SH,300595.SZ,603239.SH,603568.SH,300598.SZ,603706.SH,002356.SZ,300411.SZ,603105.SH,601318.SH,601336.SH,600385.SH,300724.SZ,002893.SZ,000593.SZ,603856.SH,000712.SZ,603348.SH,603183.SH,002644.SZ,603833.SH,603718.SH,300624.SZ
20181017,300760.SZ,603657.SH,300550.SZ,300672.SZ,300226.SZ,603160.SH,000661.SZ,300747.SZ,600536.SH,300538.SZ,300748.SZ,002368.SZ,603986.SH,603516.SH,603228.SH,002153.SZ,300668.SZ,002095.SZ,603978.SH,300033.SZ,300736.SZ,603045.SH,002853.SZ,300508.SZ,002916.SZ,300671.SZ,603337.SH,600845.SH,002890.SZ,603607.SH,300454.SZ,300628.SZ,300694.SZ,600486.SH,300413.SZ,002795.SZ,600332.SH,300613.SZ,300501.SZ,300713.SZ,300365.SZ,603677.SH,000938.SZ,300732.SZ,603019.SH,600588.SH,603105.SH,300136.SZ,603297.SH,002594.SZ
20181018,300747.SZ,300743.SZ,300760.SZ,002813.SZ,002923.SZ,300710.SZ,603040.SH,300736.SZ,300508.SZ,002862.SZ,300694.SZ,300501.SZ,603655.SH,002883.SZ,300552.SZ,603059.SH,603580.SH,603016.SH,300606.SZ,603685.SH,300748.SZ,300668.SZ,600729.SH,603179.SH,300635.SZ,002592.SZ,002849.SZ,000023.SZ,000022.SZ,001872.SZ,002776.SZ,002036.SZ,603039.SH,603289.SH,603311.SH,600520.SH,300136.SZ,300567.SZ,300545.SZ,300653.SZ,600845.SH,300707.SZ,002912.SZ,000025.SZ,300270.SZ,000007.SZ,002427.SZ,603305.SH,603131.SH,603020.SH
20181019,600519.SH,000661.SZ,300760.SZ,002304.SZ,300747.SZ,300750.SZ,300454.SZ,300661.SZ,002912.SZ,603259.SH,603260.SH,300571.SZ,300550.SZ,300642.SZ,300567.SZ,603444.SH,300613.SZ,603605.SH,601318.SH,300347.SZ,300357.SZ,002916.SZ,603589.SH,603233.SH,300749.SZ,300601.SZ,002007.SZ,300630.SZ,002821.SZ,000596.SZ,300529.SZ,300676.SZ,603666.SH,300226.SZ,601601.SH,600009.SH,002841.SZ,600566.SH,603039.SH,600570.SH,300559.SZ,300122.SZ,300595.SZ,603288.SH,601336.SH,300033.SZ,603040.SH,300667.SZ,300736.SZ,002032.SZ
20181022,600519.SH,300760.SZ,300747.SZ,603259.SH,002916.SZ,000661.SZ,603444.SH,002304.SZ,603986.SH,300618.SZ,300750.SZ,603658.SH,300616.SZ,600276.SH,601888.SH,600763.SH,300567.SZ,600436.SH,002912.SZ,300653.SZ,300613.SZ,002935.SZ,300642.SZ,603160.SH,300685.SZ,002913.SZ,002821.SZ,603883.SH,600570.SH,603666.SH,000596.SZ,603657.SH,002932.SZ,300033.SZ,300628.SZ,600566.SH,000860.SZ,300308.SZ,603833.SH,300749.SZ,300604.SZ,300454.SZ,603773.SH,600009.SH,000568.SZ,300571.SZ,000858.SZ,002594.SZ,002841.SZ,002371.SZ
20181023,002940.SZ,300736.SZ,300508.SZ,300538.SZ,000661.SZ,300694.SZ,603032.SH,300670.SZ,603016.SH,002865.SZ,300547.SZ,603329.SH,300692.SZ,002760.SZ,603978.SH,603880.SH,002755.SZ,002120.SZ,300586.SZ,603725.SH,603718.SH,002857.SZ,002907.SZ,603088.SH,002846.SZ,603320.SH,600774.SH,002569.SZ,002901.SZ,002931.SZ,002796.SZ,300572.SZ,002034.SZ,002853.SZ,002793.SZ,600547.SH,600506.SH,600768.SH,002576.SZ,300649.SZ,002776.SZ,002718.SZ,601990.SH,002423.SZ,300745.SZ,002723.SZ,000007.SZ,002726.SZ,300575.SZ,002633.SZ
20181024,300676.SZ,002940.SZ,300508.SZ,603722.SH,002803.SZ,300760.SZ,603032.SH,002856.SZ,300747.SZ,603607.SH,300701.SZ,002773.SZ,300616.SZ,300618.SZ,300384.SZ,300613.SZ,000710.SZ,300073.SZ,002857.SZ,603313.SH,300748.SZ,601116.SH,603790.SH,002891.SZ,300596.SZ,002034.SZ,603711.SH,603799.SH,603579.SH,600482.SH,000151.SZ,002801.SZ,300690.SZ,603033.SH,300236.SZ,300692.SZ,002723.SZ,300037.SZ,002878.SZ,002709.SZ,603444.SH,002199.SZ,603997.SH,300713.SZ,600299.SH,601318.SH,600962.SH,600455.SH,603680.SH,300285.SZ
20181025,603583.SH,300750.SZ,002940.SZ,603444.SH,300760.SZ,000661.SZ,002916.SZ,300642.SZ,603297.SH,300033.SZ,300548.SZ,300595.SZ,603816.SH,603305.SH,002817.SZ,002857.SZ,603259.SH,600332.SH,603810.SH,002034.SZ,601601.SH,300662.SZ,300136.SZ,300667.SZ,000732.SZ,002595.SZ,300436.SZ,603701.SH,603978.SH,601888.SH,000002.SZ,600511.SH,603883.SH,601990.SH,603313.SH,002859.SZ,002370.SZ,600612.SH,001979.SZ,600742.SH,300602.SZ,002867.SZ,000504.SZ,601100.SH,002594.SZ,002281.SZ,002353.SZ,603429.SH,600291.SH,002038.SZ
20181026,603583.SH,002940.SZ,601799.SH,603338.SH,300616.SZ,002939.SZ,603078.SH,600211.SH,603180.SH,002929.SZ,603032.SH,601869.SH,603833.SH,603214.SH,000513.SZ,000526.SZ,002902.SZ,300394.SZ,002933.SZ,002899.SZ,603089.SH,300472.SZ,603637.SH,002925.SZ,300686.SZ,603801.SH,300504.SZ,300610.SZ,300348.SZ,002909.SZ,603701.SH,002931.SZ,300502.SZ,600276.SH,000150.SZ,603398.SH,300682.SZ,000938.SZ,002848.SZ,603587.SH,603083.SH,603192.SH,300572.SZ,603081.SH,300679.SZ,000668.SZ,300557.SZ,300643.SZ,002901.SZ,002735.SZ
20181029,002940.SZ,603486.SH,300661.SZ,603811.SH,002937.SZ,603076.SH,300747.SZ,300492.SZ,000526.SZ,002902.SZ,002862.SZ,300628.SZ,603089.SH,300033.SZ,000028.SZ,600260.SH,300693.SZ,300612.SZ,002845.SZ,603656.SH,300454.SZ,002812.SZ,300713.SZ,002916.SZ,002876.SZ,002813.SZ,300226.SZ,300409.SZ,002841.SZ,603696.SH,300558.SZ,300676.SZ,300532.SZ,002458.SZ,603669.SH,002939.SZ,002929.SZ,300518.SZ,300531.SZ,000150.SZ,002624.SZ,002792.SZ,300687.SZ,300694.SZ,300271.SZ,300567.SZ,603650.SH,002935.SZ,603268.SH,300725.SZ
20181030,000661.SZ,300750.SZ,603259.SH,300747.SZ,600009.SH,603338.SH,300454.SZ,600332.SH,002831.SZ,603127.SH,603833.SH,603076.SH,603816.SH,300577.SZ,300523.SZ,300694.SZ,600436.SH,300226.SZ,300676.SZ,601799.SH,002180.SZ,300558.SZ,300033.SZ,300492.SZ,000526.SZ,300607.SZ,300357.SZ,603319.SH,603666.SH,002931.SZ,603043.SH,300624.SZ,000049.SZ,600276.SH,300690.SZ,603444.SH,600455.SH,300746.SZ,300684.SZ,603089.SH,300680.SZ,002803.SZ,300707.SZ,603866.SH,603496.SH,300653.SZ,603508.SH,603039.SH,603016.SH,603208.SH
20181031,600519.SH,000661.SZ,603288.SH,603658.SH,002821.SZ,603160.SH,601888.SH,603259.SH,603444.SH,002032.SZ,600436.SH,002304.SZ,600276.SH,300613.SZ,603076.SH,603706.SH,603127.SH,002923.SZ,300571.SZ,603260.SH,300630.SZ,300694.SZ,300748.SZ,002841.SZ,603032.SH,603790.SH,300492.SZ,000526.SZ,603939.SH,601021.SH,300688.SZ,603883.SH,600585.SH,300680.SZ,603089.SH,600566.SH,603833.SH,603866.SH,300347.SZ,600009.SH,000860.SZ,600885.SH,600779.SH,300725.SZ,600259.SH,300236.SZ,300760.SZ,300730.SZ,002940.SZ,300749.SZ
20181101,600519.SH,603444.SH,002304.SZ,603833.SH,300760.SZ,300748.SZ,603032.SH,603895.SH,300720.SZ,603602.SH,300676.SZ,300226.SZ,000418.SZ,600990.SH,002841.SZ,603019.SH,300454.SZ,600536.SH,300678.SZ,603813.SH,300730.SZ,002230.SZ,002925.SZ,002120.SZ,603138.SH,000596.SZ,603660.SH,002821.SZ,603305.SH,000333.SZ,300608.SZ,002831.SZ,002624.SZ,000858.SZ,000513.SZ,300567.SZ,300222.SZ,000938.SZ,300543.SZ,300561.SZ,300688.SZ,603131.SH,300661.SZ,002362.SZ,603089.SH,002776.SZ,002415.SZ,002253.SZ,000150.SZ,300474.SZ
20181102,600519.SH,300747.SZ,000661.SZ,603444.SH,300618.SZ,300661.SZ,300454.SZ,002304.SZ,002821.SZ,300616.SZ,603986.SH,002912.SZ,601888.SH,600276.SH,300613.SZ,300750.SZ,300628.SZ,600436.SH,000858.SZ,600009.SH,000418.SZ,300308.SZ,603658.SH,600486.SH,300567.SZ,002833.SZ,603799.SH,603180.SH,603939.SH,002008.SZ,300653.SZ,300571.SZ,300760.SZ,603883.SH,601318.SH,000596.SZ,600570.SH,603833.SH,300748.SZ,603288.SH,603032.SH,601336.SH,600309.SH,603297.SH,300604.SZ,300413.SZ,603666.SH,000568.SZ,002937.SZ,300347.SZ
20181105,300688.SZ,603039.SH,603032.SH,300508.SZ,600990.SH,603393.SH,603337.SH,002862.SZ,300724.SZ,300730.SZ,002925.SZ,603595.SH,600903.SH,603833.SH,002800.SZ,603214.SH,300670.SZ,603507.SH,601012.SH,300698.SZ,002843.SZ,603790.SH,600053.SH,603909.SH,002647.SZ,300694.SZ,603679.SH,603080.SH,603706.SH,600562.SH,600848.SH,603579.SH,002891.SZ,002893.SZ,300393.SZ,603800.SH,002459.SZ,603429.SH,300487.SZ,002353.SZ,002700.SZ,603718.SH,300037.SZ,300073.SZ,600718.SH,300451.SZ,600599.SH,002669.SZ,002878.SZ,300522.SZ
20181106,300760.SZ,300624.SZ,603259.SH,300688.SZ,300122.SZ,300676.SZ,603214.SH,300747.SZ,300750.SZ,600848.SH,300613.SZ,002888.SZ,603486.SH,603978.SH,002881.SZ,600053.SH,002876.SZ,002192.SZ,300294.SZ,603313.SH,002459.SZ,600663.SH,002749.SZ,002813.SZ,000062.SZ,002916.SZ,002700.SZ,300695.SZ,600679.SH,300068.SZ,600647.SH,002669.SZ,600895.SH,600783.SH,600283.SH,603505.SH,600570.SH,000710.SZ,002714.SZ,603882.SH,603338.SH,002208.SZ,300672.SZ,002558.SZ,000532.SZ,000938.SZ,600648.SH,002366.SZ,002607.SZ,603506.SH
20181107,300618.SZ,300688.SZ,300674.SZ,603032.SH,603583.SH,603040.SH,300630.SZ,002796.SZ,300584.SZ,603799.SH,300730.SZ,002888.SZ,002800.SZ,000661.SZ,300226.SZ,603079.SH,600053.SH,603016.SH,002192.SZ,300602.SZ,603659.SH,603810.SH,300146.SZ,002459.SZ,002932.SZ,002840.SZ,603718.SH,600872.SH,300721.SZ,603444.SH,300748.SZ,600783.SH,600895.SH,002729.SZ,300667.SZ,300731.SZ,002793.SZ,000049.SZ,002735.SZ,002058.SZ,000532.SZ,600689.SH,300645.SZ,300477.SZ,002849.SZ,300548.SZ,300678.SZ,300550.SZ,603345.SH,300294.SZ
20181108,600519.SH,002931.SZ,000025.SZ,002915.SZ,300505.SZ,603499.SH,300122.SZ,002757.SZ,002192.SZ,002881.SZ,002594.SZ,300501.SZ,002940.SZ,300550.SZ,600671.SH,603269.SH,300584.SZ,300556.SZ,603444.SH,600783.SH,300540.SZ,002841.SZ,600895.SH,300601.SZ,300674.SZ,002862.SZ,300446.SZ,000403.SZ,002729.SZ,603058.SH,300727.SZ,600689.SH,603776.SH,300001.SZ,002917.SZ,002908.SZ,603879.SH,603127.SH,600265.SH,300670.SZ,002856.SZ,300491.SZ,300642.SZ,603389.SH,002760.SZ,002812.SZ,600128.SH,600053.SH,002823.SZ,603101.SH
20181109,300751.SZ,300653.SZ,002912.SZ,300505.SZ,603499.SH,300590.SZ,002917.SZ,601869.SH,603386.SH,300742.SZ,603883.SH,300550.SZ,603283.SH,603269.SH,300731.SZ,002179.SZ,300760.SZ,300602.SZ,600271.SH,300703.SZ,300689.SZ,300644.SZ,300583.SZ,300394.SZ,002558.SZ,603337.SH,300674.SZ,300638.SZ,002281.SZ,300525.SZ,002896.SZ,300701.SZ,300695.SZ,300549.SZ,603058.SH,600283.SH,600689.SH,002803.SZ,000025.SZ,300483.SZ,300702.SZ,300645.SZ,002831.SZ,603659.SH,002921.SZ,002594.SZ,300563.SZ,603238.SH,603505.SH,603806.SH
20181112,603444.SH,300751.SZ,300747.SZ,300454.SZ,300750.SZ,300695.SZ,002940.SZ,300742.SZ,300613.SZ,600570.SH,300685.SZ,002916.SZ,300550.SZ,002841.SZ,002821.SZ,000661.SZ,002896.SZ,603059.SH,002912.SZ,603773.SH,300620.SZ,300701.SZ,300630.SZ,603305.SH,603180.SH,300505.SZ,300628.SZ,603383.SH,300661.SZ,603337.SH,603096.SH,300743.SZ,603659.SH,603259.SH,603658.SH,300738.SZ,603939.SH,603868.SH,300226.SZ,002812.SZ,300595.SZ,300525.SZ,603816.SH,300347.SZ,300642.SZ,603986.SH,002891.SZ,002932.SZ,603233.SH,300684.SZ
20181113,600519.SH,000661.SZ,300751.SZ,603096.SH,002304.SZ,603883.SH,603486.SH,603032.SH,300505.SZ,603658.SH,002812.SZ,603499.SH,300347.SZ,603228.SH,300413.SZ,300525.SZ,002876.SZ,300742.SZ,300467.SZ,603605.SH,300651.SZ,000568.SZ,603038.SH,603233.SH,002916.SZ,000596.SZ,603816.SH,603579.SH,300674.SZ,603990.SH,603663.SH,300709.SZ,300559.SZ,600083.SH,603186.SH,603127.SH,603589.SH,603059.SH,600570.SH,300673.SZ,603520.SH,000860.SZ,300308.SZ,300226.SZ,002739.SZ,002933.SZ,600872.SH,300609.SZ,300695.SZ,000513.SZ
20181114,300751.SZ,603986.SH,300644.SZ,300601.SZ,603508.SH,300661.SZ,603039.SH,300653.SZ,603499.SH,300694.SZ,300236.SZ,300670.SZ,600053.SH,603501.SH,300760.SZ,300674.SZ,300688.SZ,300748.SZ,300685.SZ,600783.SH,300747.SZ,603603.SH,300657.SZ,601330.SH,603297.SH,603881.SH,002117.SZ,002159.SZ,002925.SZ,002049.SZ,603657.SH,002669.SZ,603389.SH,000403.SZ,300069.SZ,002569.SZ,603903.SH,603383.SH,300667.SZ,300642.SZ,603059.SH,603718.SH,600895.SH,300604.SZ,603693.SH,002346.SZ,603896.SH,300520.SZ,002930.SZ,300595.SZ
20181115,300751.SZ,300747.SZ,300613.SZ,300695.SZ,002916.SZ,603180.SH,300688.SZ,603833.SH,600519.SH,603773.SH,300661.SZ,300738.SZ,002913.SZ,300681.SZ,002932.SZ,300644.SZ,603486.SH,300624.SZ,300473.SZ,300689.SZ,603220.SH,300645.SZ,300553.SZ,603661.SH,300533.SZ,002912.SZ,300454.SZ,603297.SH,002935.SZ,300033.SZ,603059.SH,002925.SZ,603706.SH,603136.SH,300709.SZ,300226.SZ,603127.SH,603866.SH,603801.SH,300701.SZ,002933.SZ,300616.SZ,300571.SZ,603208.SH,603444.SH,300630.SZ,300620.SZ,603666.SH,300603.SZ,300525.SZ
20181116,603180.SH,300567.SZ,603986.SH,300645.SZ,603501.SH,300483.SZ,603833.SH,300607.SZ,300651.SZ,002803.SZ,600053.SH,002841.SZ,603305.SH,300674.SZ,300613.SZ,002856.SZ,600848.SH,300666.SZ,300624.SZ,300636.SZ,300684.SZ,603160.SH,600783.SH,002709.SZ,603639.SH,603877.SH,300606.SZ,300618.SZ,300685.SZ,300633.SZ,603165.SH,300662.SZ,002008.SZ,300543.SZ,300454.SZ,600895.SH,000935.SZ,002875.SZ,600729.SH,600753.SH,000063.SZ,603101.SH,002779.SZ,300571.SZ,300659.SZ,300236.SZ,600663.SH,300554.SZ,601319.SH,300479.SZ
20181119,600519.SH,300645.SZ,600436.SH,300751.SZ,300651.SZ,002594.SZ,002796.SZ,300695.SZ,600340.SH,002304.SZ,300674.SZ,603903.SH,300675.SZ,300410.SZ,600783.SH,300732.SZ,300500.SZ,300543.SZ,002865.SZ,000935.SZ,300724.SZ,002875.SZ,002192.SZ,300649.SZ,300682.SZ,603010.SH,603288.SH,603698.SH,603131.SH,002940.SZ,002414.SZ,603603.SH,002346.SZ,002935.SZ,300508.SZ,000923.SZ,600779.SH,600455.SH,002058.SZ,002205.SZ,300554.SZ,300414.SZ,600080.SH,300740.SZ,300596.SZ,300469.SZ,002937.SZ,603220.SH,603665.SH,002883.SZ
20181120,300645.SZ,603180.SH,603726.SH,300674.SZ,000526.SZ,300667.SZ,603032.SH,600262.SH,300682.SZ,002877.SZ,002151.SZ,002058.SZ,002253.SZ,603220.SH,002836.SZ,300751.SZ,000856.SZ,002796.SZ,603133.SH,002708.SZ,300416.SZ,603787.SH,300627.SZ,002931.SZ,600604.SH,603356.SH,002780.SZ,603730.SH,002370.SZ,000610.SZ,300053.SZ,603336.SH,600547.SH,002451.SZ,300647.SZ,300101.SZ,002007.SZ,002769.SZ,002403.SZ,300171.SZ,002921.SZ,600766.SH,300016.SZ,603508.SH,300543.SZ,600316.SH,002594.SZ,002864.SZ,300311.SZ,000688.SZ
20181121,603444.SH,000661.SZ,603180.SH,300760.SZ,603508.SH,600519.SH,002796.SZ,300674.SZ,002821.SZ,300122.SZ,603605.SH,300577.SZ,603659.SH,603871.SH,300601.SZ,002032.SZ,603259.SH,002865.SZ,002761.SZ,002889.SZ,300142.SZ,002718.SZ,300572.SZ,300738.SZ,002007.SZ,300482.SZ,002913.SZ,600340.SH,000049.SZ,300749.SZ,002304.SZ,300732.SZ,603220.SH,002864.SZ,300653.SZ,300003.SZ,300584.SZ,002812.SZ,600276.SH,002880.SZ,603960.SH,002393.SZ,300559.SZ,603233.SH,300357.SZ,300607.SZ,002930.SZ,603658.SH,603389.SH,002192.SZ
20181122,300674.SZ,300236.SZ,300410.SZ,002865.SZ,002864.SZ,300682.SZ,000661.SZ,603619.SH,300449.SZ,002886.SZ,603220.SH,002925.SZ,603331.SH,300469.SZ,300584.SZ,002618.SZ,300595.SZ,002001.SZ,300732.SZ,002812.SZ,300530.SZ,601869.SH,603515.SH,002621.SZ,600848.SH,603378.SH,300550.SZ,000038.SZ,000418.SZ,002592.SZ,603079.SH,002708.SZ,300456.SZ,002019.SZ,002755.SZ,000503.SZ,300723.SZ,603199.SH,300516.SZ,002626.SZ,300588.SZ,300458.SZ,300401.SZ,002801.SZ,000513.SZ,603033.SH,603906.SH,603080.SH,300553.SZ,603711.SH
20181123,000538.SZ,000661.SZ,300410.SZ,002888.SZ,300449.SZ,002886.SZ,603220.SH,603810.SH,603713.SH,002913.SZ,300413.SZ,300473.SZ,002915.SZ,300583.SZ,600171.SH,002937.SZ,300751.SZ,002877.SZ,300443.SZ,002909.SZ,000802.SZ,603297.SH,002458.SZ,002799.SZ,603069.SH,600593.SH,601319.SH,002472.SZ,603587.SH,300553.SZ,600678.SH,002801.SZ,600436.SH,002761.SZ,600082.SH,603619.SH,300620.SZ,300173.SZ,300472.SZ,300715.SZ,002480.SZ,002337.SZ,300074.SZ,600538.SH,603506.SH,300612.SZ,300458.SZ,300278.SZ,002299.SZ,300327.SZ
20181126,300751.SZ,002812.SZ,603587.SH,603220.SH,002856.SZ,603322.SH,300606.SZ,002690.SZ,300457.SZ,002761.SZ,300236.SZ,002862.SZ,603806.SH,300648.SZ,300702.SZ,300676.SZ,300760.SZ,600345.SH,300512.SZ,600038.SH,300603.SZ,300183.SZ,603939.SH,603506.SH,000856.SZ,002168.SZ,002915.SZ,300602.SZ,603421.SH,603368.SH,603883.SH,603517.SH,603900.SH,002876.SZ,300724.SZ,300547.SZ,600898.SH,600781.SH,600729.SH,300675.SZ,002738.SZ,600897.SH,300402.SZ,600645.SH,002281.SZ,002439.SZ,300171.SZ,000710.SZ,300015.SZ,603605.SH
20181127,603444.SH,002925.SZ,002594.SZ,300613.SZ,300558.SZ,002935.SZ,300550.SZ,300661.SZ,300596.SZ,300670.SZ,300606.SZ,603986.SH,603486.SH,002897.SZ,300470.SZ,603658.SH,300533.SZ,603096.SH,603039.SH,300073.SZ,002929.SZ,300747.SZ,300454.SZ,000038.SZ,300618.SZ,300033.SZ,600455.SH,300176.SZ,603260.SH,002912.SZ,300597.SZ,000503.SZ,300003.SZ,300014.SZ,002933.SZ,603496.SH,300628.SZ,300638.SZ,603322.SH,300588.SZ,300565.SZ,300467.SZ,300659.SZ,600570.SH,300142.SZ,300226.SZ,603189.SH,603617.SH,300653.SZ,603042.SH
20181128,300751.SZ,600519.SH,000661.SZ,002812.SZ,300747.SZ,603444.SH,002304.SZ,002941.SZ,300750.SZ,300760.SZ,002916.SZ,002761.SZ,601888.SH,300710.SZ,002865.SZ,300037.SZ,300606.SZ,300620.SZ,300568.SZ,002751.SZ,603233.SH,300176.SZ,603305.SH,600276.SH,002709.SZ,300073.SZ,603259.SH,002925.SZ,000028.SZ,300642.SZ,300413.SZ,603386.SH,603288.SH,603737.SH,300575.SZ,603659.SH,300571.SZ,300560.SZ,603486.SH,601799.SH,603180.SH,603721.SH,603127.SH,603260.SH,603986.SH,600009.SH,300597.SZ,300558.SZ,300685.SZ,002832.SZ
20181129,603187.SH,002943.SZ,000538.SZ,002856.SZ,603617.SH,603336.SH,600547.SH,300109.SZ,300340.SZ,600774.SH,002621.SZ,300666.SZ,300572.SZ,300708.SZ,603538.SH,300702.SZ,603338.SH,002941.SZ,002851.SZ,002773.SZ,002714.SZ,300737.SZ,600612.SH,600809.SH,603861.SH,000603.SZ,600265.SH,300416.SZ,600766.SH,000766.SZ,603828.SH,300543.SZ,002549.SZ,002238.SZ,600831.SH,603589.SH,002304.SZ,002888.SZ,002101.SZ,000722.SZ,603987.SH,603345.SH,002915.SZ,600385.SH,600599.SH,002090.SZ,603868.SH,002781.SZ,002789.SZ,603363.SH
